epoch,loss,bs,C_Sf,C_Sr,lf,lr
0,347.40375,4,7.5356693,7.5356693,0.3330999376748151,0.3330999376748151
1,284.57224,4,7.735669,7.3356695,0.280597312563644,0.2805973125701922
2,133.38577,4,7.933926,7.1410637,0.22895070488517372,0.2295114233406609
3,12.757131,4,8.133263,6.945796,0.17703733197241958,0.17817458203916717
4,14.629552,4,8.321435,6.755817,0.12732660928318604,0.1284191743023453
5,65.47481,4,8.452637,6.6349134,0.0940059954510116,0.09594791830636948
6,84.61994,4,8.525597,6.584109,0.07750707144703665,0.08106748140052897
7,91.8732,4,8.573652,6.556407,0.0674645358074993,0.07257041443070891
8,93.25386,4,8.591839,6.5556874,0.0649768162590174,0.07157879018159262
9,89.40034,4,8.583151,6.577465,0.06906600556882207,0.07702643648801177
10,83.22708,4,8.554783,6.618382,0.0783279453314276,0.08764688150555465
11,57.87552,4,8.502491,6.687481,0.09448658052491336,0.10538545713206127
12,29.459642,4,8.431626,6.77724,0.11584625441237345,0.12832469150881928
13,1.1943414,4,8.348007,6.8801117,0.14064441831517868,0.15457795597053894
14,5.249373,4,8.265053,6.980813,0.16507681617308995,0.18026796249691884
15,35.7261,4,8.201582,7.0575123,0.18372049914813224,0.19970958994667237
16,62.59264,4,8.174883,7.092171,0.19180976829649524,0.2080709465590028
17,49.586933,4,8.187204,7.0840764,0.18896476450137287,0.20513547045171607
18,25.421131,4,8.2274885,7.0457625,0.17836898900897033,0.19427480295075625
19,5.1851025,4,8.284997,6.988136,0.1629231796934232,0.17839585683116327
20,-1.3736974,4,8.34752,6.923972,0.14595638336385733,0.16087841457540275
21,3.8903527,4,8.403512,6.8660254,0.13070169955712363,0.14503671160490533
22,14.703985,4,8.443576,6.825741,0.11992061168557387,0.13378480084686353
23,21.748203,4,8.4640665,6.808004,0.11473875077167746,0.12833868801850082
24,19.999123,4,8.466059,6.811263,0.11481320705800169,0.12829992156439474
25,16.165022,4,8.452447,6.8323746,0.11933829419851912,0.13287450991794836
26,8.0664835,4,8.423084,6.8710504,0.1282991113529741,0.1420075811980965
27,1.424973,4,8.382596,6.921311,0.1402950626688543,0.15418516341708577
28,-0.88150084,4,8.338804,6.9739747,0.15307024415325043,0.1670426986290057
29,4.271051,4,8.299662,7.020273,0.16439152432698576,0.1782905233613226
30,14.58799,4,8.273372,7.051548,0.17199671335373923,0.1856282317324529
31,20.920841,4,8.267587,7.060123,0.17382482439375707,0.1869972751790806
32,11.456567,4,8.285024,7.0434136,0.16916857052166956,0.18170277519881242
33,1.9657362,4,8.31754,7.0101724,0.16029352374420722,0.1720911308938462
34,-1.5558343,4,8.354957,6.9709516,0.1499755123547074,0.16096288400299225
35,0.37456647,4,8.389981,6.9338474,0.14026978455579975,0.1504569941180539
36,3.8231091,4,8.415604,6.9065003,0.1331343877749046,0.14255184711222416
37,6.1600113,4,8.427524,6.894148,0.12983570405440958,0.13859416674518893
38,5.3354845,4,8.424837,6.8982635,0.13068413868529544,0.1389571110817252
39,1.4511014,4,8.409439,6.916535,0.13512005374219693,0.14304104063274364
40,-0.6881786,4,8.387239,6.942348,0.1414736250813979,0.14913970608438215
41,-0.9074526,4,8.362889,6.9702725,0.14840307141786502,0.15584170847557044
42,-0.9812206,4,8.338984,6.9969487,0.15511741903277923,0.16225617920948293
43,-0.08514637,4,8.317392,7.0202045,0.16107663746543946,0.16780037488896
44,2.4388492,4,8.301289,7.0367203,0.1654090686075343,0.17158822069582527
45,4.708041,4,8.294975,7.0421443,0.16695355467144787,0.17245732962613422
46,4.069204,4,8.301731,7.0333223,0.16484689836616273,0.16957089083181345
47,-0.22447263,4,8.320659,7.0113134,0.15935215657253424,0.16322000809548368
48,-1.7246112,4,8.344074,6.984477,0.15261502452062628,0.15563766113205557
49,-0.9112132,4,8.36553,6.959554,0.14640044018949477,0.14859768534231077
50,1.6247076,4,8.380756,6.9414215,0.14192749969483176,0.14337759118994814
51,1.6086683,4,8.385136,6.9348154,0.1404472203493892,0.1411971987850266
52,0.5031599,4,8.37945,6.939102,0.14176623709348227,0.14188861829767388
53,-0.70688784,4,8.366685,6.951316,0.14508704449839158,0.14468343697147526
54,-1.6419299,4,8.350373,6.967431,0.14940340584161138,0.1485303256119501
55,-1.555833,4,8.334399,6.9831915,0.15362938074285948,0.15231584316556204
56,-0.9456347,4,8.320607,6.9965496,0.15724573889990007,0.1554987202798792
57,-1.0274554,4,8.309208,7.0068192,0.16013681900508558,0.1578815120967677
58,-0.8613843,4,8.2994175,7.014657,0.16249664364606142,0.15962697229070139
59,-0.30966777,4,8.292446,7.0188107,0.16399604137893808,0.16040039293017627
60,-0.10782969,4,8.290517,7.017193,0.1640579182326665,0.15965295501756302
61,-0.578302,4,8.295386,7.008321,0.16224736403807477,0.15700266737545268
62,-1.6955997,4,8.306565,6.9929156,0.15872446960733086,0.15265013709803205
63,-1.6780554,4,8.319007,6.9765263,0.15489970344512524,0.14806764566657268
64,-1.1055691,4,8.328635,6.963197,0.1518577605838216,0.14430890260809867
65,-0.14167973,4,8.333164,6.955536,0.15024771866043346,0.14205634825366606
66,-0.8289959,4,8.330316,6.955569,0.15064607243563466,0.141826838220123
67,-1.3878912,4,8.322423,6.96086,0.15241683966751376,0.1429843466301245
68,-1.5669037,4,8.31228,6.9687705,0.1548336159961124,0.14484613187563114
69,-1.6600201,4,8.302005,6.9769382,0.1573016876795168,0.14679146299129844
70,-1.5045354,4,8.293678,6.9831204,0.1592467378684424,0.14823080339272765
71,-1.093568,4,8.287677,6.986928,0.16056672525101107,0.14906045401452198
72,-1.1204989,4,8.282443,6.989484,0.16162350110284698,0.14956026366378922
73,-1.230043,4,8.275803,6.9928546,0.16298317405345886,0.1502656226916128
74,-1.1758261,4,8.268696,6.99608,0.16439280080588764,0.1509233691477058
75,-1.2075605,4,8.2633095,6.997223,0.16530147061617062,0.15103205417778728
76,-1.255075,4,8.262277,6.9939475,0.16504552142476767,0.14998754832456546
77,-1.7075846,4,8.266929,6.985057,0.16328771989170845,0.1474815660441262
78,-1.7744439,4,8.2735815,6.974556,0.16104618673115667,0.1445723892800231
79,-1.5673378,4,8.278995,6.9654617,0.15915437160912918,0.14204160631832902
80,-1.0931593,4,8.281618,6.9595323,0.15804860697757894,0.14035075615232534
81,-1.469723,4,8.279477,6.9584312,0.15821503855579608,0.13992369714748432
82,-1.6367679,4,8.274482,6.9601645,0.15913606483743514,0.1402395603825748
83,-1.6083034,4,8.268513,6.9631796,0.16035241806964132,0.14090174865848284
84,-1.6868483,4,8.2627,6.96622,0.1615497012101368,0.141580190155131
85,-1.5967126,4,8.25829,6.967969,0.1623890681508714,0.14192995619500712
86,-1.1236463,4,8.25484,6.9689007,0.16299172202192747,0.14207459933471114
87,-0.93236077,4,8.250107,6.9707723,0.16389273516498767,0.14245921659439248
88,-1.1980621,4,8.241664,6.9758654,0.16571724133718702,0.14367387631128917
89,-1.273482,4,8.231277,6.982361,0.16799102181047237,0.14524266395968768
90,-1.1988612,4,8.222185,6.987284,0.16988968227302848,0.1463950238907754
91,-0.97440124,4,8.218344,6.9869466,0.17040013477059407,0.14617258755647902
92,-1.5171702,4,8.222034,6.9791455,0.16892976378342273,0.14400208469621986
93,-1.7878515,4,8.229316,6.968126,0.16655623132997946,0.14100406127117351
94,-1.6441574,4,8.236271,6.9575562,0.16428339026402597,0.13813001008113243
95,-1.1850901,4,8.240759,6.949829,0.16270618019082028,0.1360077803061453
96,-1.4884778,4,8.240193,6.9472156,0.16246856584116987,0.1352183025039884
97,-1.6141529,4,8.236251,6.9479957,0.16312271172766166,0.1353139886217402
98,-1.6026752,4,8.230806,6.9506807,0.1642205665771418,0.13591648823552052
99,-1.7040931,4,8.225082,6.9539084,0.1654236503179989,0.13666910341051852
